problemId,objectId
2,o3
3,o4
3,o3
3,o1
6,o3
9,o4
12,o3
12,o2
14,o2
15,o3
15,o1
24,o3
28,o3
28,o2
31,o4
31,o1
36,o2
36,o1
37,o5
37,o3
40,o4
40,o1
41,o2
50,o3
52,o2
52,o1
56,o5
56,o4
56,o3
56,o2
56,o1
57,o4
57,o3
59,o2
59,o1
65,o6
65,o5
65,o4
65,o3
66,o1
67,o4
67,o3
69,o3
74,o6
93,o2
93,o1
95,o6
99,o1
101,o3
101,o1
103,o4
104,o5
104,o3
104,o1
106,o3
106,o2
107,o2
109,o3
110,o2
111,o5
112,o3
112,o1
120,o3
125,o4
125,o3
126,o3
126,o2
128,o3
128,o2
131,o2
131,o1
137,o5
137,o4
137,o3
137,o2
137,o1
143,o4
143,o2
143,o1
144,o4
151,o3
151,o2
154,o4
154,o2
154,o1
155,o2
156,o2
156,o1
167,o4
167,o3
169,o4
169,o2
169,o1
172,o3
172,o1
175,o2
175,o1
176,o5
176,o4
176,o3
176,o1
177,o4
177,o3
177,o1
181,o1
184,o1
188,o2
188,o1
192,o3
193,o3
193,o1
194,o4
194,o2
194,o1
196,o2
202,o5
202,o4
206,o3
206,o2
206,o1
208,o1
209,o3
209,o2
209,o1
214,o3
223,o6
223,o5
223,o4
223,o3
224,o6
225,o3
227,o3
227,o1
233,o1
238,o1
241,o4
241,o2
243,o2
243,o1
248,o3
249,o5
249,o4
249,o2
250,o5
250,o4
250,o2
256,o4
258,o2
268,o4
268,o3
270,o4
286,o3
287,o1
288,o5
288,o3
289,o1
290,o4
290,o2
295,o6
295,o2
301,o1
303,o3
303,o2
307,o2
309,o2
309,o1
314,o1
316,o1
319,o1
321,o1
326,o5
326,o4
326,o1
327,o1
328,o1
329,o2
334,o3
337,o4
337,o3
343,o1
345,o5
345,o3
348,o1
352,o5
352,o3
358,o6
358,o4
366,o4
369,o5
370,o6
370,o5
375,o3
378,o2
381,o5
382,o4
390,o3
402,o1
404,o2
404,o1
411,o5
411,o3
411,o2
412,o6
412,o5
412,o3
412,o2
416,o4
416,o1
417,o3
419,o1
424,o1
425,o2
427,o5
428,o4
432,o2
432,o1
433,o4
433,o2
437,o1
444,o2
453,o6
459,o4
459,o3
459,o1
463,o2
468,o2
468,o1
470,o2
470,o1
473,o1
474,o3
474,o1
476,o3
476,o2
479,o2
481,o1
482,o2
483,o4
483,o3
485,o1
488,o3
488,o1
490,o4
490,o3
490,o2
500,o3
500,o2
516,o4
516,o2
521,o6
521,o5
521,o2
527,o5
527,o3
529,o1
531,o2
531,o1
534,o2
534,o1
539,o4
540,o2
540,o1
542,o2
543,o2
543,o1
544,o6
544,o5
544,o3
544,o2
546,o2
546,o1
550,o2
552,o4
552,o2
553,o2
553,o1
555,o1
559,o2
565,o4
565,o1
567,o3
568,o2
582,o2
583,o2
597,o4
602,o5
602,o3
602,o1
609,o2
609,o1
612,o4
616,o2
616,o1
625,o2
625,o1
628,o4
634,o2
635,o4
635,o1
639,o3
640,o6
641,o2
642,o6
642,o2
648,o3
648,o2
648,o1
649,o2
650,o4
654,o3
654,o2
654,o1
657,o3
658,o3
658,o1
662,o2
662,o1
667,o6
667,o5
667,o3
671,o2
683,o3
683,o1
685,o5
685,o4
685,o3
686,o4
691,o4
691,o1
693,o3
698,o5
700,o1
701,o5
701,o3
701,o2
701,o1
705,o5
705,o4
705,o2
705,o1
708,o3
708,o2
709,o5
709,o4
709,o2
719,o1
723,o4
723,o3
723,o1
728,o4
728,o3
728,o1
732,o5
732,o2
732,o1
734,o3
734,o1
737,o3
741,o4
741,o2
745,o3
748,o4
748,o2
753,o6
755,o1
768,o4
769,o2
769,o1
772,o4
773,o2
777,o2
777,o1
780,o3
780,o2
780,o1
781,o1
787,o2
795,o2
797,o5
797,o4
797,o3
797,o1
803,o3
805,o6
807,o2
807,o1
815,o5
815,o4
815,o2
816,o3
819,o5
819,o4
819,o1
832,o4
832,o2
833,o2
833,o1
835,o2
836,o4
836,o1
841,o2
841,o1
844,o4
844,o2
845,o3
845,o1
847,o6
847,o5
847,o4
847,o2
848,o2
849,o3
859,o1
864,o3
867,o5
867,o4
867,o1
872,o2
872,o1
876,o1
880,o6
880,o5
880,o2
880,o1
882,o3
882,o2
882,o1
892,o4
899,o2
899,o1
904,o5
904,o4
904,o2
904,o1
909,o6
909,o1
910,o2
912,o6
912,o1
915,o2
915,o1
926,o1
927,o4
927,o2
927,o1
929,o1
932,o1
938,o6
938,o5
940,o2
941,o2
944,o4
944,o3
944,o2
945,o2
946,o4
946,o1
947,o5
947,o4
947,o1
955,o6
955,o1
957,o5
957,o4
961,o3
961,o2
961,o1
971,o5
973,o3
973,o1
974,o6
974,o5
974,o3
974,o2
974,o1
977,o2
977,o1
979,o2
984,o1
989,o1
991,o6
995,o2
995,o1
1000,o3
1000,o1
