cited_paper_id,citing_paper_id
10227,131669
11510,heintz00robosoc
124100,57340
125615,ventura99isocrob
131669,goller99connectionist
133494,159727
149759,461740
184462,108321
200188,374383
220216,452506
22187,384644
242172,bush01styx
242172,david01agentbased
24318,443403
243680,cabri01engineering
24549,28031
270469,376734
28307,maloof99machine
289676,moran99improvement
300232,brandt00task
30237,322267
323955,532672
323955,finney02learning
32521,54866
33084,75800
332050,flake00agents
37804,202510
399288,kolp01architectural
441053,guestrin02algorithmdirected
442160,crabbe01goal
460784,aiello01ontological
462179,buffet02adaptive
4799,154973
50337,50337
508147,ben-ameur02multiitem
509926,jalali-sohi01integrated
509926,roth01scalable
518472,estlin98using
518472,veloso94learning
527475,bush01styx
527475,david01agentbased
56124,ghani01using
6411,54866
6411,7537
64765,marsella99being
71059,450055
71059,cabri01engineering
71059,roth01scalable
74980,cardie99integrating
8263,460784
8263,labrou99interoperability
845,108321
91978,kennedy99distributed
abello99maximum,bomze99maximum
abowd00charting,cabri01engineering
aha91casebased,73259
aha91casebased,77029
aha91casebased,jantke97necessity
allen99control,449668
arai01multiagent,532227
arisha99impact,443403
bagnell01autonomous,532672
bardram97plans,532291
bates98using,saif01communication
benerecetti97model,460784
benerecetti97model,wooldridge02model
billsus00learning,youll00impulse
bollacker98citeseer,54866
borrajo93bounded,518472
borrajo93bounded,veloso94learning
bradford98pruning,bradford98pruning
brandt00exploring,brandt00task
brandt00task,brandt01cryptographic
brandt01vicious,brandt01cryptographic
brazier01automated,brazier02agent
brown01switch,guestrin02algorithmdirected
busetta99jack,amin99agentoriented
busetta99jack,bush01styx
butz01algorithmic,538003
cabri00mars,450055
cabri00mars,cabri01engineering
cabri98reactive,71059
cardie93using,aha98omnipresence
cardie97improving,aha98omnipresence
cardie97improving,maloof99machine
carreras01hybrid,532672
chan98toward,domingos99metacost
chaudhri98okbc,labrou99interoperability
chen99introducing,128910
cox96introspective,cox96introspective
crabbe01goal,crabbe01goal
crabbe99secondorder,crabbe01goal
craven98learning,2102
craven98learning,54866
craven98learning,7537
decker95environment,decker95environment
deloach99multiagent,446625
deloach99multiagent,507954
dicaro98antnet,amin01agentbased
dicaro98antnet,varela99ant
dietterich98approximate,2102
dignum00towards,463357
dignum00towards,rahwan00virtual
dix01metaagent,arisha99impact
dorohonceanu00novel,tews02gday
dragoni00updating,460784
driessens01speeding,finney02learning
dutech01multiagent,buffet02adaptive
eriksson98sics,eriksson98to
fensel98ontobroker,consortium00corporate
ferguson95role,white98towards
flach98strongly,7980
fleuret99graded,294238
fox98active,525378
frank98generating,liu00extended
globig94casebased,jantke97necessity
gratch00emile,449668
gray01dagents,brazier02agent
griffiths95concept,108321
grolimund95integrating,aha98omnipresence
hattori99socialware,457130
hayden99architectural,kolp01architectural
hekanaho98dogma,liu00extended
helmer01software,499374
hero98robust,hero99estimation
heskes98solving,26655
horrocks98using,aiello01ontological
horrocks98using,straccia01reasoning
howe97examining,aha98omnipresence
howe97examining,cardie99integrating
iglesias99survey,bush01styx
iglesias99survey,deloach99multiagent
jakobi98running,filliat99incremental
jansen00mobile,499374
jantke93casebased,20587
jantke93casebased,73259
jantke93casebased,jantke97necessity
jantke94nonstandard,bridge98defining
jantke97logical,jantke97necessity
jantke97theoretical,jantke97necessity
jennings95controlling,233063
jennings95controlling,ambroszkiewicz98cooperation
jennings95controlling,jennings00autonomous
jennings95controlling,yen01cast
jordan98introduction,45086
jurisica96inductive,108321
karnik99security,roth01programming
kendall00java,459526
kinny96methodology,507954
kinny96methodology,deloach99multiagent
kitano97robocup,ambroszkiewicz98cooperation
kitano97robocup,heintz00robosoc
kitano97robocup,marsella99being
kitano97robocup,prokopenko00cyberoos
klein91supporting,jennings95controlling
kononenko95induction,414088
krink00parameter,539207
labrou99agent,dragoni00mental
landau01atnosferes,landau02comparison
langley95applications,162298
lee00spectral,339430
lee00training,marin01hybrid
lee99unifying,73250
leung98probabilistic,weber00unsupervised
lomuscio00classification,ben-ameur02multiitem
marchiori98simple,bomze99maximum
mark00multiagent,446625
mark00multiagent,459526
marques00going,509693
marques01integrating,509693
marques01providing,509693
martelli99specification,martelli99logic
martin99embedding,consortium00corporate
mcroy95repair,ardissono96uso
michaud98learning,rosenstein99continuous
minar99cooperating,amin01agentbased
minar99hive,457130
moran99improvement,moran99improvement
neumann99experience,marin01hybrid
nguyen98strict,461740
nigam99text,54866
nwana99perspective,andersson99intelligent
nwana99perspective,flake00agents
ozden98cyclic,han99efficient
panayiotopoulos98intelligent,505987
papadopoulos00models,532291
parsons98agents,233063
parsons98agents,dragoni00mental
parunak01erims,463357
pelikan99boa,266823
picco99lime,450055
picco99lime,71059
picco99lime,cabri01engineering
pirjanian00multirobot,pirjanian99behavior
ponnekanti01icrafter,tews02gday
prasad96cooperative,sen98individual
prokopenko99situated,prokopenko00cyberoos
puliafito00map,demeer00programmable
puliafito00map,lacorte99agent
rao94meansend,460784
rao94meansend,heinze99plan
rao95bdi,burkhard99bdi
rao95bdi,debenham99multiagent
rao95bdi,dragoni00mental
rao95bdi,ehlert01intelligent
rao95bdi,fischer96intelligent
rao95bdi,morley96semantics
rao95bdi,rahwan00virtual
rao97unified,ambroszkiewicz98cooperation
rao97unified,heinze99plan
rhodes99wearable,youll00impulse
ricci97extending,aha98omnipresence
roth01programming,roth01scalable
roth98learning,294238
rousseau97socialpsychological,449668
rowley98rotation,frey99estimating
roy00integration,roy00computational
sakakibara94learning,20587
schmitt98relating,131669
seymore99learning,54866
stone98layered,64765
tenhagen01continuous,452506
thrun98map,75800
timm00multiagent,timm01synthesis
toenshoff01flexible,timm01synthesis
tresp98description,straccia01reasoning
tripathi99mobile,brazier02agent
tripathi99mobile,saif01communication
uhrmacher00modeling,uhrmacher00plug
vagina03cryptographic,482071
vagina03cryptographic,kim01secret
vandertorre98diagnosis,vandertorre00contrarytoduty
vandertorre99violation,vandertorre00contrarytoduty
wang99hierarchical,buffet02adaptive
watson99embodied,202510
wess94casebased,wilke96framework
white98towards,205160
white98towards,409610
wicke99compiling,gendelman00fast
wood00overview,529980
wooldridge00agentoriented,457130
wooldridge00computationally,wooldridge02model
wooldridge99methodology,deloach99multiagent
xu98neural,30494
yin00knowledgebased,yen01cast
