n_examples,n_pos_examples,n_neg_examples,accuracy,accuracy_std,accuracy_default,cramers_coeff,TP,FN,type,total_examples,time_total,object_complexity,relation_complexity
80,41,39,1.0,0.0,0.5125,1.0,1.0,0.0,training,100,0.07,5,5
20,9,11,1.0,0.0,0.55,1.0,1.0,0.0,testing,100,0.07,5,5
80,41,39,1.0,0.0,0.5125,1.0,1.0,0.0,training,100,0.07,10,5
20,9,11,1.0,0.0,0.55,1.0,1.0,0.0,testing,100,0.07,10,5
80,41,39,1.0,0.0,0.5125,1.0,1.0,0.0,training,100,0.08,15,5
20,9,11,1.0,0.0,0.55,1.0,1.0,0.0,testing,100,0.08,15,5
80,42,38,1.0,0.0,0.525,1.0,1.0,0.0,training,100,0.08,20,5
20,8,12,1.0,0.0,0.6,1.0,1.0,0.0,testing,100,0.08,20,5
80,41,39,1.0,0.0,0.5125,1.0,1.0,0.0,training,100,0.08,25,5
20,9,11,1.0,0.0,0.55,1.0,1.0,0.0,testing,100,0.08,25,5
80,39,41,1.0,0.0,0.5125,1.0,1.0,0.0,training,100,0.07,30,5
20,11,9,1.0,0.0,0.55,1.0,1.0,0.0,testing,100,0.07,30,5
80,43,37,1.0,0.0,0.5375,1.0,1.0,0.0,training,100,0.08,35,5
20,7,13,1.0,0.0,0.65,1.0,1.0,0.0,testing,100,0.08,35,5
80,42,38,1.0,0.0,0.525,1.0,1.0,0.0,training,100,0.08,40,5
20,8,12,1.0,0.0,0.6,1.0,1.0,0.0,testing,100,0.08,40,5
